,Profit/Loss
2022-06-02,2037.5277127567106
2022-06-06,1807.5340053680488
2022-06-27,-602.3468623029466
2022-07-07,1224.287008460375
2022-07-12,6327.236780026316
2022-07-21,2644.002531996225
2022-07-26,2618.894475400646
2022-08-03,1979.1650701991239
2022-08-10,4398.775045163897
2022-08-25,290.79950280803854
2022-09-01,1890.7279435882417
2022-09-19,-345.0425785078064
2022-09-29,1314.9465062889035
2022-10-05,754.6816426480167
2022-10-19,-1590.2404332365472
2022-10-21,2082.8493037913445
2022-11-01,503.6276810671952
2022-11-17,-1233.413219777771
2022-11-25,2329.188563114518
2022-12-01,1728.13398975646
2022-12-07,772.5833940107077
2022-12-14,1394.3996933692656
2022-12-16,2143.1648647456773
2022-12-22,1194.8139428696586
2022-12-30,1804.2893827362152
2023-01-09,1120.6511080556165
2023-01-25,-1009.3487832053975
2023-02-07,-653.8966170170734
2023-02-10,2496.2989168100676
2023-02-17,1368.2541218894917
2023-02-28,-289.5430455266703
2023-03-03,1863.861912875179
2023-03-08,1660.3972016108432
2023-03-10,859.7171626622194
2023-03-14,1037.4243377810562
2023-03-16,1239.7583845474303
2023-03-23,1463.0187717231124
2023-03-29,2117.1938580869214
2023-04-11,-109.23813487575313
2023-04-21,-351.4873057008979
2023-05-11,-1171.5992315210478
2023-05-18,1168.5457056301548
2023-05-25,2031.8632070131055
2023-06-05,-223.51184402908393
2023-06-08,1357.5332911278624
2023-06-21,905.6910992190849
2023-06-28,694.997654538478
2023-06-30,2077.208048506142
2023-07-17,-1221.966448531274
2023-08-01,-2676.8131676119774
2023-08-17,-719.7825725036328
2023-08-24,1416.520889805759
2023-09-13,-2464.4239298588172
2023-09-25,2014.143233881187
2023-10-10,-103.61830512487609
2023-10-18,899.5460450800103
2023-10-20,2081.9836977402856
2023-10-31,1118.308656481862
2023-11-07,1282.7653169428913
2023-11-14,1929.1655026764436
2023-12-01,-2822.975028332234
2023-12-12,1927.8597109996795
2023-12-19,362.93463013580447
2023-12-27,684.2146744415187
2024-01-02,2757.123619630744
2024-01-12,-371.6356580066142
2024-01-24,1472.3236384130569
2024-02-26,-13579.519863835541
2024-03-12,-1282.2452783340993
2024-03-21,-1091.4387234165556
